star,nationality
Stars Tim Robbins,USA
Morgan Freeman,USA
Bob Gunton,USA
Marlon Brando,USA
Al Pacino,USA
James Caan,USA
Diane Keaton,USA
Christian Bale,UK
Heath Ledger,Australia
Aaron Eckhart,USA
Michael Caine,UK
Al Pacino,USA
Robert De Niro,USA
Robert Duvall,USA
Diane Keaton,USA
Henry Fonda,USA
Lee J. Cobb,USA
Martin Balsam,USA
John Fiedler,USA
Liam Neeson,UK
Ralph Fiennes,UK
Ben Kingsley,UK
Caroline Goodall,UK
Elijah Wood,USA
Viggo Mortensen,USA
Ian McKellen,UK
Orlando Bloom,UK
John Travolta,USA
Uma Thurman,USA
Samuel L. Jackson,USA
Bruce Willis,Germany
Elijah Wood,USA
Ian McKellen,UK
Orlando Bloom,UK
Sean Bean,UK
Clint Eastwood,USA
Eli Wallach,USA
Lee Van Cleef,USA
Aldo Giuffrè,Italy
Tom Hanks,USA
Robin Wright,USA
Gary Sinise,USA
Sally Field,USA
Brad Pitt,USA
Edward Norton,USA
Meat Loaf,USA
Elijah Wood,USA
Ian McKellen,UK
Viggo Mortensen,USA
Orlando Bloom,UK
Leonardo DiCaprio,USA
Joseph Gordon-Levitt,USA
Elliot Page,Canada
Ken Watanabe,Japan
Mark Hamill,USA
Harrison Ford,USA
Carrie Fisher,USA
Billy Dee Williams,USA
Keanu Reeves,Lebanon
Laurence Fishburne,USA
Carrie-Anne Moss,Canada
Hugo Weaving,Nigeria
Robert De Niro,USA
Ray Liotta,USA
Joe Pesci,USA
Lorraine Bracco,USA
Jack Nicholson,USA
Louise Fletcher,USA
Michael Berryman,USA
Morgan Freeman,USA
Brad Pitt,USA
Kevin Spacey,USA
Andrew Kevin Walker,USA
Toshirô Mifune,China
Takashi Shimura,Japan
Keiko Tsushima,Japan
Yukiko Shimazaki,Japan
James Stewart,USA
Donna Reed,USA
Lionel Barrymore,USA
Thomas Mitchell,USA
Jodie Foster,USA
Anthony Hopkins,UK
Lawrence A. Bonney,NA
Kasi Lemmons,USA
Alexandre Rodrigues,Brazil
Leandro Firmino,Brazil
Matheus Nachtergaele,Brazil
Phellipe Haagensen,Brazil
Tom Hanks,USA
Matt Damon,USA
Tom Sizemore,USA
Edward Burns,USA
Matthew McConaughey,USA
Anne Hathaway,USA
Jessica Chastain,USA
Mackenzie Foy,USA
Roberto Benigni,Italy
Nicoletta Braschi,Italy
Giorgio Cantarini,Italy
Giustino Durano,Italy
Tom Hanks,USA
Michael Clarke Duncan,USA
David Morse,USA
Bonnie Hunt,USA
Stars Mark Hamil,USA
lGarrick Hagon,UK
Anthony Forrest,UK
Arnold Schwarzenegger,Austria
Linda Hamilton,USA
Edward Furlong,USA
Robert Patrick,USA
Michael J. Fox,Canada
Christopher Lloyd,USA
Lea Thompson,USA
Crispin Glover,USA
Daveigh Chase,USA
Suzanne Pleshette,USA
Miyu Irino,Japan
Rumi Hiiragi,Japan
Adrien Brody,USA
Thomas Kretschmann,Germany
Frank Finlay,UK
Emilia Fox,UK
Anthony Perkins,USA
Janet Leigh,USA
Vera Miles,USA
John Gavin,USA
Song Kang-ho,"Korea, Republic of"
Lee Sun-kyun,"Korea, Republic of"
