star,nationality
Cho Yeo-jeong,"Korea, Republic of"
Choi Woo-sik,"Korea, Republic of"
Jean Reno,Morocco
Gary Oldman,UK
Natalie Portman,Israel
Danny Aiello,USA
Matthew Broderick,USA
Jeremy Irons,UK
James Earl Jones,USA
Whoopi Goldberg,USA
Russell Crowe,New Zealand
Joaquin Phoenix,Puerto Rico
Connie Nielsen,Denmark
Oliver Reed,UK
Edward Norton,USA
Edward Furlong,USA
Beverly D'Angelo,USA
Jennifer Lien,USA
Leonardo DiCaprio,USA
Matt Damon,USA
Jack Nicholson,USA
Mark Wahlberg,USA
Kevin Spacey,USA
Gabriel Byrne,Ireland
Chazz Palminteri,USA
Stephen Baldwin,USA
Christian Bale,UK
Hugh Jackman,Australia
Scarlett Johansson,USA
Michael Caine,UK
Miles Teller,USA
J.K. Simmons,USA
Melissa Benoist,USA
Humphrey Bogart,USA
Ingrid Bergman,Sweden
Paul Henreid,Italy
Claude Rains,UK
Tsutomu Tatsumi,Japan
Ayano Shiraishi,Japan
Akemi Yamaguchi,Japan
Yoshiko Shinohara,Japan
Tatsuya Nakadai,Japan
Akira Ishihama,Japan
Shima Iwashita,Japan
Tetsurô Tanba,Japan
François Cluzet,France
Omar Sy,France
Anne Le Ny,France
Audrey Fleurot,France
Charles Chaplin,UK
Paulette Goddard,USA
Henry Bergman,USA
Tiny Sandford,USA
Henry Fonda,USA
Charles Bronson,USA
Claudia Cardinale,Tunisia
James Stewart,USA
Grace Kelly,USA
Wendell Corey,USA
Thelma Ritter,USA
Philippe Noiret,France
Enzo Cannavale,Italy
Antonella Attili,Italy
Isa Danieli,Italy
Sigourney Weaver,USA
Tom Skerritt,USA
John Hurt,UK
Veronica Cartwright,UK
Charles Chaplin,UK
Virginia Cherrill,USA
Florence Lee,USA
Harry Myers,USA
Martin Sheen,USA
Marlon Brando,USA
Robert Duvall,USA
Frederic Forrest,USA
Guy Pearce,UK
Carrie-Anne Moss,Canada
Joe Pantoliano,USA
Mark Boone Junior,USA
Jamie Foxx,USA
Christoph Waltz,Austria
Leonardo DiCaprio,USA
Harrison Ford,USA
Karen Allen,USA
Paul Freeman,UK
Ben Burtt,USA
Elissa Knight,USA
Jeff Garlin,USA
Fred Willard,USA
Ulrich Mühe,East Germany
Martina Gedeck,West Germany
Sebastian Koch,Germany
Ulrich Tukur,Germany
William Holden,USA
Gloria Swanson,USA
Erich von Stroheim,Austria
Nancy Olson,USA
Kirk Douglas,USA
Ralph Meeker,USA
Adolphe Menjou,USA
George Macready,USA
Jack Nicholson,USA
Shelley Duvall,USA
Danny Lloyd,USA
Scatman Crothers,USA
Charles Chaplin,UK
Paulette Goddard,USA
Jack Oakie,USA
Reginald Gardiner,UK
Robert Downey Jr.,USA
Chris Hemsworth,Australia
Mark Ruffalo,USA
Chris Evans,USA
Tyrone Power,USA
Marlene Dietrich,Germany
Charles Laughton,UK
Elsa Lanchester,UK
Sigourney Weaver,USA
Michael Biehn,USA
Carrie Henn,USA
Paul Reiser,USA
Shameik Moore,USA
Jake Johnson,USA
Hailee Steinfeld,USA
Mahershala Ali,USA
Stars Kevin Spacey,USA
Annette Bening,USA
Thora Birch,USA
Peter Sellers,UK
George C. Scott,USA
Sterling Hayden,USA
Keenan Wynn,USA
Christian Bale,UK
Tom Hardy,UK
Anne Hathaway,USA
Gary Oldman,UK
Choi Min-sik,"Korea, Republic of"
Yoo Ji-tae,"Korea, Republic of"
Kang Hye-jeong,"Korea, Republic of"
Kim Byeong-Ok,"Korea, Republic of"
Brad Pitt,USA
Diane Kruger,Germany
Eli Roth,USA
Mélanie Laurent,France
F. Murray Abraham,USA
Tom Hulce,USA
Elizabeth Berridge,USA
Roy Dotrice,UK
Anthony Gonzalez,USA
Gael García Bernal,Mexico
Benjamin Bratt,USA
Alanna Ubach,USA
Tom Hanks,USA
Tim Allen,USA
Don Rickles,USA
Jim Varney,USA
Joaquin Phoenix,Puerto Rico
Robert De Niro,USA
Zazie Beetz,Germany
Frances Conroy,USA
Mel Gibson,USA
Sophie Marceau,France
Patrick McGoohan,USA
Angus Macfadyen,UK
Jürgen Prochnow,Germany
Herbert Grönemeyer,Germany
Klaus Wennemann,Germany
Hubertus Bengsch,Germany
Robert Downey Jr.,USA
Chris Evans,USA
Mark Ruffalo,USA
Chris Hemsworth,Australia
Yôji Matsuda,Japan
Yuriko Ishida,Japan
Yûko Tanaka,Japan
Billy Crudup,USA
Robert De Niro,USA
James Woods,USA
Elizabeth McGovern,USA
Treat Williams,USA
Robin Williams,USA
Matt Damon,USA
Ben Affleck,USA
Stellan Skarsgård,Sweden
Ryunosuke Kamiki,Japan
Mone Kamishiraishi,Japan
Ryo Narita,Japan
Aoi Yûki,Japan
Aamir Khan,India
Madhavan,India
Mona Singh,India
Gene Kelly,USA
Donald O'Connor,USA
Debbie Reynolds,USA
Jean Hagen,USA
Tom Hanks,USA
Tim Allen,USA
Joan CUnited States of Americack,USA
Ned Beatty,USA
Toshirô Mifune,China
Yutaka Sada,Japan
Tatsuya Nakadai,Japan
Kyôko Kagawa,Japan
Mark Hamill,USA
Harrison Ford,USA
Carrie Fisher,USA
Billy Dee Williams,USA
Jim Carrey,Canada
Kate Winslet,UK
Tom Wilkinson,UK
Keir Dullea,USA
Gary Lockwood,USA
William Sylvester,USA
Daniel Richter,USA
Harvey Keitel,USA
Tim Roth,UK
Michael Madsen,USA
Chris Penn,USA
Aleksey Kravchenko,Russian Federation
Vladas Bagdonas,Lithuania
Guillaume Beylard,France
Orson Welles,USA
Joseph Cotten,USA
Dorothy Comingore,USA
Agnes Moorehead,USA
Peter Lorre,Slovakia
Ellen Widmann,Switzerland
Inge Landgut,Germany
Otto Wernicke,Germany
Peter O'Toole,UK
Alec Guinness,UK
Anthony Quinn,Mexico
Jack Hawkins,UK
Cary Grant,UK
Eva Marie Saint,USA
James Mason,UK
Jessie Royce Landis,USA
James Stewart,USA
Kim Novak,USA
Barbara Bel Geddes,USA
Tom Helmore,UK
Audrey Tautou,France
Mathieu Kassovitz,France
Rufus,France
Jack Lemmon,USA
Shirley MacLaine,USA
Fred MacMurray,USA
Ray Walston,USA
Malcolm McDowell,UK
Patrick Magee,UK
Michael Bates,India
Warren Clarke,UK
Fred MacMurray,USA
Barbara Stanwyck,USA
Edward G. Robinson,Romania
Byron Barr,USA
Matthew Modine,USA
R. Lee Ermey,USA
Vincent D'Onofrio,USA
Adam Baldwin,USA
Tom Cruise,USA
Jennifer Connelly,USA
Miles Teller,USA
Val Kilmer,USA
Al Pacino,USA
Michelle Pfeiffer,USA
Steven Bauer,Cuba
Mary Elizabeth Mastrantonio,USA
Lin-Manuel Miranda,USA
Phillipa Soo,USA
Leslie Odom Jr.,USA
Renée Elise Goldsberry,USA
Lubna Azabal,Belgium
Maxim Gaudette,Canada
Gregory Peck,USA
John Megna,USA
Frank Overton,USA
Rosemary Murphy,Germany
Al Pacino,USA
Robert De Niro,USA
Val Kilmer,USA
Jon Voight,USA
Paul Newman,USA
Robert Redford,USA
Robert Shaw,UK
Charles Durning,USA
Edward Asner,USA
Jordan Nagai,USA
John Ratzenberger,USA
Christopher Plummer,Canada
Brigitte Helm,Germany
Alfred Abel,Germany
Gustav Fröhlich,Germany
Rudolf Klein-Rogge,Germany
Robert De Niro,USA
Jodie Foster,USA
Cybill Shepherd,USA
Albert Brooks,USA
Kevin Spacey,USA
Russell Crowe,New Zealand
Guy Pearce,UK
Kim Basinger,USA
Bruce Willis,West Germany
Alan Rickman,UK
Bonnie Bedelia,USA
Reginald VelJohnson,USA
Jason Statham,UK
Brad Pitt,USA
Stephen Graham,UK
Vinnie Jones,UK
Harrison Ford,USA
Sean Connery,UK
Alison Doody,Ireland
Denholm Elliott,UK
Darsheel Safary,India
Aamir Khan,India
Tisca Chopra,India
Vipin Sharma,India
Dean-Charles Chapman,UK
George MacKay,UK
Daniel Mays,UK
Colin Firth,UK
Bruno Ganz,Switzerland
Alexandra Maria Lara,Romania
Ulrich Matthes,Germany
Juliane Köhler,Germany
Aamir Khan,India
Sakshi Tanwar,India
Fatima Sana Shaikh,India
Sanya Malhotra,India
Christian Bale,UK
Michael Caine,UK
Ken Watanabe,Japan
Liam Neeson,UK
Charles Chaplin,UK
Edna Purviance,USA
Jackie Coogan,USA
Carl Miller,USA
Marilyn Monroe,USA
Tony Curtis,USA
Jack Lemmon,USA
George Raft,USA
Anthony Hopkins,UK
Olivia Colman,UK
Mark Gatiss,UK
Olivia Williams,UK
Leonardo DiCaprio,USA
Jonah Hill,USA
Margot Robbie,Australia
Matthew McConaughey,USA
Viggo Mortensen,USA
Mahershala Ali,USA
Linda Cardellini,USA
Sebastian Maniscalco,USA
Spencer Tracy,USA
Burt Lancaster,USA
Richard Widmark,USA
Marlene Dietrich,Germany
Robert De Niro,USA
Sharon Stone,USA
Joe Pesci,USA
James Woods,USA
Tatsuya Nakadai,Japan
Akira Terao,Japan
Jinpachi Nezu,Japan
Daisuke Ryû,Japan
Ivana Baquero,Spain
Ariadna Gil,Spain
Sergi López,Spain
Maribel Verdú,Spain
Bruce Willis,Germany
Haley Joel Osment,USA
Toni Collette,Australia
Olivia Williams,UK
Leonardo DiCaprio,USA
Emily Mortimer,UK
Mark Ruffalo,USA
Ben Kingsley,UK
Russell Crowe,New Zealand
Ed Harris,USA
Jennifer Connelly,USA
Christopher Plummer,Canada
Sam Neill,UK
Laura Dern,USA
Jeff Goldblum,USA
Richard Attenborough,UK
Toshirô Mifune,China
Eijirô Tôno,Japan
Tatsuya Nakadai,Japan
Yôko Tsukasa,Japan
Humphrey Bogart,USA
Walter Huston,Canada
Tim Holt,USA
Bruce Bennett,USA
Graham Chapman,UK
John Cleese,UK
Eric Idle,UK
Terry Gilliam,USA
Steve McQueen,USA
James Garner,USA
Richard Attenborough,UK
Charles Bronson,USA
Tommy Lee Jones,USA
Javier Bardem,Spain
Josh Brolin,USA
Woody Harrelson,USA
Tom Holland,UK
Zendaya,USA
Benedict Cumberbatch,UK
Jacob Batalon,USA
Uma Thurman,USA
David Carradine,USA
Daryl Hannah,USA
Michael Madsen,USA
Toshirô Mifune,China
Machiko Kyô,Japan
Masayuki Mori,Japan
Takashi Shimura,Japan
Kurt Russell,USA
Wilford Brimley,USA
Keith David,USA
Richard Masur,USA
Albert Brooks,USA
Ellen DeGeneres,USA
Alexander Gould,USA
Willem Dafoe,USA
Anthony Hopkins,UK
John Hurt,UK
Anne Bancroft,USA
John Gielgud,UK
Jack Nicholson,USA
Faye Dunaway,USA
John Huston,USA
Perry Lopez,USA
Robert De Niro,USA
Cathy Moriarty,USA
Joe Pesci,USA
Frank Vincent,USA
Hugo Weaving,Nigeria
Natalie Portman,Israel
Rupert Graves,UK
Stephen Rea,UK
Clark Gable,USA
Vivien Leigh,India
Thomas Mitchell,USA
Barbara O'Neil,USA
Jason Flemyng,UK
Dexter Fletcher,UK
Nick Moran,UK
Jason Statham,UK
Amy Poehler,USA
Bill Hader,USA
Lewis Black,USA
Mindy Kaling,USA
Ray Milland,UK
Grace Kelly,USA
Robert Cummings,USA
John Williams,UK
Ricardo Darín,Argentina
Soledad Villamil,Argentina
Pablo Rago,Argentina
Carla Quevedo,Argentina
Chieko Baisho,Japan
Takuya Kimura,Japan
Tatsuya Gashûin,Japan
Akihiro Miwa,Japan
Frances McDormand,USA
Woody Harrelson,USA
Sam Rockwell,USA
Caleb Landry Jones,USA
William Holden,USA
Alec Guinness,UK
Jack Hawkins,UK
Sessue Hayakawa,Japan
Hugh Jackman,Australia
Jake Gyllenhaal,USA
Viola Davis,USA
Melissa Leo,USA
Tom Hardy,UK
Nick Nolte,USA
Joel Edgerton,Australia
Jennifer Morrison,USA
William H. Macy,USA
Frances McDormand,USA
Steve Buscemi,USA
Peter Stormare,Sweden
Hitoshi Takagi,NA
Noriko Hidaka,Japan
Chika Sakamoto,Japan
Shigesato Itoi,Japan
Leonardo DiCaprio,USA
Tom Hanks,USA
Christopher Walken,USA
Martin Sheen,USA
Hilary Swank,USA
Clint Eastwood,USA
Morgan Freeman,USA
Jay Baruchel,Canada
Harrison Ford,USA
Rutger Hauer,"Netherlands, Kingdom of the"
Sean Young,USA
Edward James Olmos,USA
Charles Chaplin,UK
Mack Swain,USA
Tom Murray,USA
Henry Bergman,USA
Ethan Hawke,USA
Julie Delpy,France
Andrea Eckert,Austria
Hanno Pöschl,Austria
Chiwetel Ejiofor,UK
Michael Kenneth Williams,USA
Michael Fassbender,West Germany
Brad Pitt,USA
Jason Schwartzman,USA
J.K. Simmons,USA
Rashida Jones,USA
Will Sasso,Canada
Daniel Radcliffe,UK
Emma Watson,France
Rupert Grint,UK
Michael Gambon,Ireland
Marlon Brando,USA
Karl Malden,USA
Lee J. Cobb,USA
Rod Steiger,USA
Charlton Heston,USA
Jack Hawkins,UK
Stephen Boyd,UK
Haya Harareet,Palestine
Ben Affleck,USA
Rosamund Pike,UK
Neil Patrick Harris,USA
Tyler Perry,USA
Ralph Fiennes,UK
F. Murray Abraham,USA
Mathieu Amalric,France
Adrien Brody,USA
Victor Sjöström,Sweden
Bibi Andersson,Sweden
Ingrid Thulin,Sweden
Gunnar Björnstrand,Sweden
Buster Keaton,USA
Marion Mack,NA
Glen Cavender,USA
Jim Farley,USA
Orson Welles,USA
Joseph Cotten,USA
Alida Valli,Croatia
Trevor Howard,UK
Daniel Day-Lewis,UK
Pete Postlethwaite,UK
Robert De Niro,USA
Christopher Walken,USA
John Cazale,USA
John Savage,USA
Ryan O'Neal,USA
Marisa Berenson,USA
Patrick Magee,UK
Hardy Krüger,Germany
Andrew Garfield,USA
Sam Worthington,UK
Luke Bracey,Australia
Teresa Palmer,Australia
Yves Montand,Italy
Charles Vanel,France
Peter van Eyck,Poland
Folco Lulli,Italy
Song Kang-ho,"Korea, Republic of"
Kim Sang-kyung,"Korea, Republic of"
Roe-ha Kim,"Korea, Republic of"
Jae-ho Song,"Korea, Republic of"
Buster Keaton,USA
Kathryn McGuire,USA
Joe Keaton,USA
Erwin Connelly,USA
Darío Grandinetti,Argentina
María Marull,Argentina
Mónica Villa,Argentina
Tom Hardy,UK
Charlize Theron,South Africa
Nicholas Hoult,UK
Zoë Kravitz,USA
Max von Sydow,Sweden
Gunnar Björnstrand,Sweden
Bengt Ekerot,Sweden
Nils Poppe,Sweden
Toni Collette,Australia
Philip Seymour Hoffman,USA
Eric Bana,Australia
Barry Humphries,Australia
Jay Baruchel,Canada
Gerard Butler,UK
Christopher Mintz-Plasse,USA
Craig Ferguson,UK
Brie Larson,USA
Jacob Tremblay,Canada
Sean Bridgers,USA
Wendy Crewson,Canada
Billy Crystal,USA
John Goodman,USA
Mary Gibbs,USA
Steve Buscemi,USA
Roy Scheider,USA
Robert Shaw,UK
Richard Dreyfuss,USA
Lorraine Gary,USA
Jeff Bridges,USA
John Goodman,USA
Julianne Moore,USA
Steve Buscemi,USA
Maria Falconetti,France
Eugene Silvain,France
André Berley,France
Maurice Schutz,France
Don Cheadle,USA
Sophie Okonedo,UK
Joaquin Phoenix,Puerto Rico
Matt Damon,USA
Christian Bale,UK
Jon Bernthal,USA
Caitríona Balfe,Ireland
Sylvester Stallone,USA
Talia Shire,USA
Burt Young,USA
Carl Weathers,USA
Charlie Sheen,USA
Tom Berenger,USA
Willem Dafoe,USA
Keith David,USA
Brad Garrett,USA
Patton Oswalt,USA
Ian Holm,UK
Mark Ruffalo,USA
Michael Keaton,USA
Rachel McAdams,Canada
Liev Schreiber,USA
Arnold Schwarzenegger,Austria
Linda Hamilton,USA
Michael Biehn,USA
Paul Winfield,USA
Hugh Jackman,Australia
Patrick Stewart,UK
Dafne Keen,Spain
Boyd Holbrook,USA
Wil Wheaton,USA
River Phoenix,USA
Corey Feldman,USA
Jerry O'Connell,USA
Daniel Brühl,Spain
Chris Hemsworth,Australia
Olivia Wilde,USA
Alexandra Maria Lara,Romania
Emile Hirsch,USA
Vince Vaughn,USA
Catherine Keener,USA
Marcia Gay Harden,USA
Ethan Hawke,USA
Julie Delpy,France
Vernon Dobtcheff,France
Judy Garland,USA
Frank Morgan,USA
Ray Bolger,USA
Bert Lahr,USA
Bill Murray,USA
Andie MacDowell,USA
Chris Elliott,USA
Stephen Tobolowsky,USA
Myrna Loy,USA
Dana Andrews,USA
Fredric March,USA
Teresa Wright,USA
Ellen Burstyn,USA
Max von Sydow,Sweden
Linda Blair,USA
Lee J. Cobb,USA
Craig T. Nelson,USA
Samuel L. Jackson,USA
Holly Hunter,USA
Jason Lee,USA
Carole Lombard,USA
Jack Benny,USA
Robert Stack,USA
Felix Bressart,Russian Federation
Vincent Cassel,France
Saïd Taghmaoui,France
Jean Martin,France
Yacef Saadi,Algeria
Johnny Depp,USA
Geoffrey Rush,Australia
Orlando Bloom,UK
Keira Knightley,UK
Richard Gere,USA
Joan Allen,USA
Cary-Hiroyuki Tagawa,Japan
Sarah Roemer,USA
Suriya,India
Lijo Mol Jose,India
Manikandan K.,India
Rajisha Vijayan,India
Çetin Tekindor,Turkey
Fikret Kuskan,Turkey
Hümeyra,Turkey
Ege Tanman,Turkey
Emilio Echevarría,Mexico
Gael García Bernal,Mexico
Goya Toledo,Spain
Álvaro Guerrero,Mexico
Laurence Olivier,UK
Joan Fontaine,Japan
George Sanders,Russian Federation
Judith Anderson,Australia
Paul Newman,USA
George Kennedy,USA
Strother Martin,USA
J.D. Cannon,USA
Kim Min-hee,"Korea, Republic of"
Ha Jung-woo,"Korea, Republic of"
Cho Jin-woong,"Korea, Republic of"
Moon So-ri,"Korea, Republic of"
Jean-Pierre Léaud,France
Albert Rémy,France
Claire Maurier,France
Guy Decomble,France
Julie Andrews,UK
Christopher Plummer,Canada
Eleanor Parker,USA
Richard Haydn,UK
Clark Gable,USA
Claudette Colbert,France
Walter Connolly,USA
Roscoe Karns,USA
Bibi Andersson,Sweden
Liv Ullmann,Japan
Margaretha Krook,Sweden
Gunnar Björnstrand,Sweden
Eli Marienthal,USA
Harry Connick Jr.,USA
Jennifer Aniston,USA
Vin Diesel,USA
Maksim Munzuk,Russian Federation
Yuriy Solomin,Russian Federation
Mikhail Bychkov,Russian Federation
Scott Weinger,USA
Robin Williams,USA
Linda Larkin,USA
Jonathan Freeman,USA
Ben Kingsley,UK
John Gielgud,UK
Rohini Hattangadi,India
Roshan Seth,India
Kevin Costner,USA
Mary McDonnell,USA
Graham Greene,Canada
Rodney A. Grant,USA
