star,star_url,nationality
Viggo Mortensen,https://www.imdb.com/name/nm0001557/,USA
Orlando Bloom,https://www.imdb.com/name/nm0089217/,UK
Leonardo DiCaprio,https://www.imdb.com/name/nm0000138/,USA
Joseph Gordon-Levitt,https://www.imdb.com/name/nm0330687/,USA
Elliot Page,https://www.imdb.com/name/nm0680983/,Canada
Ken Watanabe,https://www.imdb.com/name/nm0913822/,Japan
Mark Hamill,https://www.imdb.com/name/nm0000434/,USA
Harrison Ford,https://www.imdb.com/name/nm0000148/,USA
Carrie Fisher,https://www.imdb.com/name/nm0000402/,USA
Billy Dee Williams,https://www.imdb.com/name/nm0001850/,USA
Keanu Reeves,https://www.imdb.com/name/nm0000206/,Lebanon
Laurence Fishburne,https://www.imdb.com/name/nm0000401/,USA
Carrie-Anne Moss,https://www.imdb.com/name/nm0005251/,Canada
Hugo Weaving,https://www.imdb.com/name/nm0915989/,Nigeria
Robert De Niro,https://www.imdb.com/name/nm0000134/,USA
Ray Liotta,https://www.imdb.com/name/nm0000501/,USA
Joe Pesci,https://www.imdb.com/name/nm0000582/,USA
Lorraine Bracco,https://www.imdb.com/name/nm0000966/,USA
Jack Nicholson,https://www.imdb.com/name/nm0000197/,USA
Louise Fletcher,https://www.imdb.com/name/nm0001221/,USA
Michael Berryman,https://www.imdb.com/name/nm0077720/,USA
Morgan Freeman,https://www.imdb.com/name/nm0000151/,USA
Brad Pitt,https://www.imdb.com/name/nm0000093/,USA
Kevin Spacey,https://www.imdb.com/name/nm0000228/,USA
Andrew Kevin Walker,https://www.imdb.com/name/nm0001825/,USA
Toshirô Mifune,https://www.imdb.com/name/nm0001536/,China
Takashi Shimura,https://www.imdb.com/name/nm0793766/,Japan
Keiko Tsushima,https://www.imdb.com/name/nm0875477/,Japan
Yukiko Shimazaki,https://www.imdb.com/name/nm0793616/,Japan
James Stewart,https://www.imdb.com/name/nm0000071/,USA
Donna Reed,https://www.imdb.com/name/nm0001656/,USA
Lionel Barrymore,https://www.imdb.com/name/nm0000859/,USA
Thomas Mitchell,https://www.imdb.com/name/nm0593775/,USA
Jodie Foster,https://www.imdb.com/name/nm0000149/,USA
Anthony Hopkins,https://www.imdb.com/name/nm0000164/,UK
Lawrence A. Bonney,https://www.imdb.com/name/nm0095029/,NA
Kasi Lemmons,https://www.imdb.com/name/nm0501435/,USA
Alexandre Rodrigues,https://www.imdb.com/name/nm1179105/,Brazil
Leandro Firmino,https://www.imdb.com/name/nm1129884/,Brazil
Matheus Nachtergaele,https://www.imdb.com/name/nm0618690/,Brazil
Phellipe Haagensen,https://www.imdb.com/name/nm1249574/,Brazil
Tom Hanks,https://www.imdb.com/name/nm0000158/,USA
Matt Damon,https://www.imdb.com/name/nm0000354/,USA
Tom Sizemore,https://www.imdb.com/name/nm0001744/,USA
Edward Burns,https://www.imdb.com/name/nm0122653/,USA
Matthew McConaughey,https://www.imdb.com/name/nm0000190/,USA
Anne Hathaway,https://www.imdb.com/name/nm0004266/,USA
Jessica Chastain,https://www.imdb.com/name/nm1567113/,USA
Mackenzie Foy,https://www.imdb.com/name/nm3237775/,USA
Roberto Benigni,https://www.imdb.com/name/nm0000905/,Italy
Nicoletta Braschi,https://www.imdb.com/name/nm0000971/,Italy
Giorgio Cantarini,https://www.imdb.com/name/nm0134493/,Italy
Giustino Durano,https://www.imdb.com/name/nm0243842/,Italy
Tom Hanks,https://www.imdb.com/name/nm0000158/,USA
Michael Clarke Duncan,https://www.imdb.com/name/nm0003817/,USA
David Morse,https://www.imdb.com/name/nm0001556/,USA
Bonnie Hunt,https://www.imdb.com/name/nm0001372/,USA
Stars Mark Hamil,https://www.imdb.com/name/nm0000434/,USA
lGarrick Hagon,https://www.imdb.com/name/nm0353796/,UK
Anthony Forrest,https://www.imdb.com/name/nm0286599,UK
Arnold Schwarzenegger,https://www.imdb.com/name/nm0000216/,Austria
Linda Hamilton,https://www.imdb.com/name/nm0000157/,USA
Edward Furlong,https://www.imdb.com/name/nm0000411/,USA
Robert Patrick,https://www.imdb.com/name/nm0001598/,USA
Michael J. Fox,https://www.imdb.com/name/nm0000150/,Canada
Christopher Lloyd,https://www.imdb.com/name/nm0000502/,USA
Lea Thompson,https://www.imdb.com/name/nm0000670/,USA
Crispin Glover,https://www.imdb.com/name/nm0000417/,USA
Daveigh Chase,https://www.imdb.com/name/nm0153738/,USA
Suzanne Pleshette,https://www.imdb.com/name/nm0687189/,USA
Miyu Irino,https://www.imdb.com/name/nm0997115/,Japan
Rumi Hiiragi,https://www.imdb.com/name/nm0383708/,Japan
Adrien Brody,https://www.imdb.com/name/nm0004778/,USA
Thomas Kretschmann,https://www.imdb.com/name/nm0470981/,Germany
Frank Finlay,https://www.imdb.com/name/nm0277975/,UK
Emilia Fox,https://www.imdb.com/name/nm0288976/,UK
Anthony Perkins,https://www.imdb.com/name/nm0000578/,USA
Janet Leigh,https://www.imdb.com/name/nm0001463/,USA
Vera Miles,https://www.imdb.com/name/nm0587256/,USA
John Gavin,https://www.imdb.com/name/nm0001260/,USA
Song Kang-ho,https://www.imdb.com/name/nm0814280/,South Korea
Lee Sun-kyun,https://www.imdb.com/name/nm1310525/,South Korea
Cho Yeo-jeong,https://www.imdb.com/name/nm1856097/,South Korea
Choi Woo-sik,https://www.imdb.com/name/nm6079248/,South Korea
Jean Reno,https://www.imdb.com/name/nm0000606/,Morocco
Gary Oldman,https://www.imdb.com/name/nm0000198/,UK
Natalie Portman,https://www.imdb.com/name/nm0000204/,Israel
Danny Aiello,https://www.imdb.com/name/nm0000732/,USA
Matthew Broderick,https://www.imdb.com/name/nm0000111/,USA
Jeremy Irons,https://www.imdb.com/name/nm0000460/,UK
James Earl Jones,https://www.imdb.com/name/nm0000469/,USA
Whoopi Goldberg,https://www.imdb.com/name/nm0000155/,USA
Russell Crowe,https://www.imdb.com/name/nm0000128/,New Zealand
Joaquin Phoenix,https://www.imdb.com/name/nm0001618/,Puerto Rico
Connie Nielsen,https://www.imdb.com/name/nm0001567/,Denmark
Oliver Reed,https://www.imdb.com/name/nm0001657/,UK
Edward Norton,https://www.imdb.com/name/nm0001570/,USA
Edward Furlong,https://www.imdb.com/name/nm0000411/,USA
Beverly D'Angelo,https://www.imdb.com/name/nm0000350/,USA
Jennifer Lien,https://www.imdb.com/name/nm0000497/,USA
Leonardo DiCaprio,https://www.imdb.com/name/nm0000138/,USA
Matt Damon,https://www.imdb.com/name/nm0000354/,USA
Jack Nicholson,https://www.imdb.com/name/nm0000197/,USA
Mark Wahlberg,https://www.imdb.com/name/nm0000242/,USA
Kevin Spacey,https://www.imdb.com/name/nm0000228/,USA
Gabriel Byrne,https://www.imdb.com/name/nm0000321/,Ireland
Chazz Palminteri,https://www.imdb.com/name/nm0001590/,USA
Stephen Baldwin,https://www.imdb.com/name/nm0000286/,USA
Christian Bale,https://www.imdb.com/name/nm0000288/,UK
Hugh Jackman,https://www.imdb.com/name/nm0413168/,Australia
Scarlett Johansson,https://www.imdb.com/name/nm0424060/,USA
Michael Caine,https://www.imdb.com/name/nm0000323/,UK
Miles Teller,https://www.imdb.com/name/nm1886602,USA
J.K. Simmons,https://www.imdb.com/name/nm0799777/,USA
Melissa Benoist,https://www.imdb.com/name/nm2552034,USA
Humphrey Bogart,https://www.imdb.com/name/nm0000007/,USA
Ingrid Bergman,https://www.imdb.com/name/nm0000006/,Sweden
Paul Henreid,https://www.imdb.com/name/nm0002134/,Italy
Claude Rains,https://www.imdb.com/name/nm0001647/,UK
Tsutomu Tatsumi,https://www.imdb.com/name/nm0851302/,NA
Ayano Shiraishi,https://www.imdb.com/name/nm0794186/,NA
Akemi Yamaguchi,https://www.imdb.com/name/nm0945312/,NA
Yoshiko Shinohara,https://www.imdb.com/name/nm0794002/,NA
Tatsuya Nakadai,https://www.imdb.com/name/nm0619938/,Japan
Akira Ishihama,https://www.imdb.com/name/nm0410968/,Japan
Shima Iwashita,https://www.imdb.com/name/nm0412615/,Japan
Tetsurô Tanba,https://www.imdb.com/name/nm0848533/,Japan
François Cluzet,https://www.imdb.com/name/nm0167388/,France
Omar Sy,https://www.imdb.com/name/nm1082477/,France
Anne Le Ny,https://www.imdb.com/name/nm0494504/,France
Audrey Fleurot,https://www.imdb.com/name/nm1109153/,France
Charles Chaplin,https://www.imdb.com/name/nm0000122/,UK
Paulette Goddard,https://www.imdb.com/name/nm0002104/,USA
Henry Bergman,https://www.imdb.com/name/nm0074788/,USA
Tiny Sandford,https://www.imdb.com/name/nm0761866/,USA
Henry Fonda,https://www.imdb.com/name/nm0000020/,USA
Charles Bronson,https://www.imdb.com/name/nm0000314/,USA
Claudia Cardinale,https://www.imdb.com/name/nm0001012/,Tunisia
James Stewart,https://www.imdb.com/name/nm0000071/,USA
Grace Kelly,https://www.imdb.com/name/nm0000038/,USA
Wendell Corey,https://www.imdb.com/name/nm0179819/,USA
Thelma Ritter,https://www.imdb.com/name/nm0728812/,USA
Philippe Noiret,https://www.imdb.com/name/nm0634159/,France
Enzo Cannavale,https://www.imdb.com/name/nm0134073/,Italy
Antonella Attili,https://www.imdb.com/name/nm0041066/,Italy
Isa Danieli,https://www.imdb.com/name/nm0199774/,Italy
Sigourney Weaver,https://www.imdb.com/name/nm0000244/,USA
Tom Skerritt,https://www.imdb.com/name/nm0000643/,USA
John Hurt,https://www.imdb.com/name/nm0000457/,UK
Veronica Cartwright,https://www.imdb.com/name/nm0001021/,UK
Charles Chaplin,https://www.imdb.com/name/nm0000122/,UK
Virginia Cherrill,https://www.imdb.com/name/nm0156039/,USA
Florence Lee,https://www.imdb.com/name/nm5681967/,USA
Harry Myers,https://www.imdb.com/name/nm0616729/,USA
Martin Sheen,https://www.imdb.com/name/nm0000640/,USA
Marlon Brando,https://www.imdb.com/name/nm0000008/,USA
Robert Duvall,https://www.imdb.com/name/nm0000380/,USA
Frederic Forrest,https://www.imdb.com/name/nm0002078/,USA
Guy Pearce,https://www.imdb.com/name/nm0001602/,UK
Carrie-Anne Moss,https://www.imdb.com/name/nm0005251/,Canada
Joe Pantoliano,https://www.imdb.com/name/nm0001592/,USA
Mark Boone Junior,https://www.imdb.com/name/nm0095478/,USA
Jamie Foxx,https://www.imdb.com/name/nm0004937/,USA
Christoph Waltz,https://www.imdb.com/name/nm0910607/,Austria
Leonardo DiCaprio,https://www.imdb.com/name/nm0000138/,USA
Harrison Ford,https://www.imdb.com/name/nm0000148/,USA
Karen Allen,https://www.imdb.com/name/nm0000184/,USA
Paul Freeman,https://www.imdb.com/name/nm0293550/,UK
Ben Burtt,https://www.imdb.com/name/nm0123785/,USA
Elissa Knight,https://www.imdb.com/name/nm2264184/,USA
Jeff Garlin,https://www.imdb.com/name/nm0307531/,USA
Fred Willard,https://www.imdb.com/name/nm0929609/,USA
Ulrich Mühe,https://www.imdb.com/name/nm0618057/,Germany
Martina Gedeck,https://www.imdb.com/name/nm0311476/,Germany
Sebastian Koch,https://www.imdb.com/name/nm0462407/,Germany
Ulrich Tukur,https://www.imdb.com/name/nm0876300/,Germany
William Holden,https://www.imdb.com/name/nm0000034/,USA
Gloria Swanson,https://www.imdb.com/name/nm0841797/,USA
Erich von Stroheim,https://www.imdb.com/name/nm0002233/,Austria
Nancy Olson,https://www.imdb.com/name/nm0647970/,USA
Kirk Douglas,https://www.imdb.com/name/nm0000018/,USA
Ralph Meeker,https://www.imdb.com/name/nm0576127/,USA
Adolphe Menjou,https://www.imdb.com/name/nm0579663/,USA
George Macready,https://www.imdb.com/name/nm0534317/,USA
Jack Nicholson,https://www.imdb.com/name/nm0000197/,USA
Shelley Duvall,https://www.imdb.com/name/nm0001167/,USA
Danny Lloyd,https://www.imdb.com/name/nm0515950/,USA
Scatman Crothers,https://www.imdb.com/name/nm0001079/,USA
Charles Chaplin,https://www.imdb.com/name/nm0000122/,UK
Paulette Goddard,https://www.imdb.com/name/nm0002104/,USA
Jack Oakie,https://www.imdb.com/name/nm0642988/,USA
Reginald Gardiner,https://www.imdb.com/name/nm0306786/,UK
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,USA
Chris Hemsworth,https://www.imdb.com/name/nm1165110/,Australia
Mark Ruffalo,https://www.imdb.com/name/nm0749263/,USA
Chris Evans,https://www.imdb.com/name/nm0262635/,USA
Tyrone Power,https://www.imdb.com/name/nm0000061/,USA
Marlene Dietrich,https://www.imdb.com/name/nm0000017/,Germany
Charles Laughton,https://www.imdb.com/name/nm0001452/,UK
Elsa Lanchester,https://www.imdb.com/name/nm0006471/,UK
Sigourney Weaver,https://www.imdb.com/name/nm0000244/,USA
Michael Biehn,https://www.imdb.com/name/nm0000299/,USA
Carrie Henn,https://www.imdb.com/name/nm0001343/,USA
Paul Reiser,https://www.imdb.com/name/nm0001663/,USA
Shameik Moore,https://www.imdb.com/name/nm4271336/,USA
Jake Johnson,https://www.imdb.com/name/nm2159926/,USA
Hailee Steinfeld,https://www.imdb.com/name/nm2794962/,USA
Mahershala Ali,https://www.imdb.com/name/nm0991810/,USA
Stars Kevin Spacey,https://www.imdb.com/name/nm0000228/,USA
Annette Bening,https://www.imdb.com/name/nm0000906/,USA
Thora Birch,https://www.imdb.com/name/nm0000301/,USA
Peter Sellers,https://www.imdb.com/name/nm0000634/,UK
George C. Scott,https://www.imdb.com/name/nm0001715/,USA
Sterling Hayden,https://www.imdb.com/name/nm0001330/,USA
Keenan Wynn,https://www.imdb.com/name/nm0943978/,USA
Christian Bale,https://www.imdb.com/name/nm0000288/,UK
Tom Hardy,https://www.imdb.com/name/nm0362766/,UK
Anne Hathaway,https://www.imdb.com/name/nm0004266/,USA
Gary Oldman,https://www.imdb.com/name/nm0000198/,UK
Choi Min-sik,https://www.imdb.com/name/nm0158856/,South Korea
Yoo Ji-tae,https://www.imdb.com/name/nm0949167/,South Korea
Kang Hye-jeong,https://www.imdb.com/name/nm1367246/,South Korea
Kim Byeong-Ok,https://www.imdb.com/name/nm1366028/,South Korea
Brad Pitt,https://www.imdb.com/name/nm0000093/,USA
Diane Kruger,https://www.imdb.com/name/nm1208167/,Germany
Eli Roth,https://www.imdb.com/name/nm0744834/,USA
Mélanie Laurent,https://www.imdb.com/name/nm0491259/,France
F. Murray Abraham,https://www.imdb.com/name/nm0000719/,USA
Tom Hulce,https://www.imdb.com/name/nm0001371/,USA
Elizabeth Berridge,https://www.imdb.com/name/nm0000931/,USA
Roy Dotrice,https://www.imdb.com/name/nm0234541/,UK
Anthony Gonzalez,https://www.imdb.com/name/nm5645519/,USA
Gael García Bernal,https://www.imdb.com/name/nm0305558/,Mexico
Benjamin Bratt,https://www.imdb.com/name/nm0000973/,USA
Alanna Ubach,https://www.imdb.com/name/nm0005513/,USA
Tom Hanks,https://www.imdb.com/name/nm0000158/,USA
Tim Allen,https://www.imdb.com/name/nm0000741/,USA
Don Rickles,https://www.imdb.com/name/nm0725543/,USA
Jim Varney,https://www.imdb.com/name/nm0001815/,USA
Joaquin Phoenix,https://www.imdb.com/name/nm0001618/,Puerto Rico
Robert De Niro,https://www.imdb.com/name/nm0000134/,USA
Zazie Beetz,https://www.imdb.com/name/nm5939164/,Germany
Frances Conroy,https://www.imdb.com/name/nm0175814/,USA
Mel Gibson,https://www.imdb.com/name/nm0000154/,USA
Sophie Marceau,https://www.imdb.com/name/nm0000521/,France
Patrick McGoohan,https://www.imdb.com/name/nm0001526/,USA
Angus Macfadyen,https://www.imdb.com/name/nm0005171/,UK
Jürgen Prochnow,https://www.imdb.com/name/nm0001638/,Germany
Herbert Grönemeyer,https://www.imdb.com/name/nm0344963/,Germany
Klaus Wennemann,https://www.imdb.com/name/nm0921044/,Germany
Hubertus Bengsch,https://www.imdb.com/name/nm0071059/,Germany
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,USA
Chris Evans,https://www.imdb.com/name/nm0262635/,USA
Mark Ruffalo,https://www.imdb.com/name/nm0749263/,USA
Chris Hemsworth,https://www.imdb.com/name/nm1165110/,Australia
Yôji Matsuda,https://www.imdb.com/name/nm0559444/,Japan
Yuriko Ishida,https://www.imdb.com/name/nm0410942/,Japan
Yûko Tanaka,https://www.imdb.com/name/nm0849100/,Japan
Billy Crudup,https://www.imdb.com/name/nm0001082/,USA
Robert De Niro,https://www.imdb.com/name/nm0000134/,USA
James Woods,https://www.imdb.com/name/nm0000249/,USA
Elizabeth McGovern,https://www.imdb.com/name/nm0001527/,USA
Treat Williams,https://www.imdb.com/name/nm0001852/,USA
Robin Williams,https://www.imdb.com/name/nm0000245/,USA
Matt Damon,https://www.imdb.com/name/nm0000354/,USA
Ben Affleck,https://www.imdb.com/name/nm0000255/,USA
Stellan Skarsgård,https://www.imdb.com/name/nm0001745/,Sweden
Ryunosuke Kamiki,https://www.imdb.com/name/nm1126340/,Japan
Mone Kamishiraishi,https://www.imdb.com/name/nm4759838/,Japan
Ryo Narita,https://www.imdb.com/name/nm6954008/,Japan
Aoi Yûki,https://www.imdb.com/name/nm2976492/,Japan
Aamir Khan,https://www.imdb.com/name/nm0451148/,India
Madhavan,https://www.imdb.com/name/nm0534856/,India
Mona Singh,https://www.imdb.com/name/nm1587175,India
Gene Kelly,https://www.imdb.com/name/nm0000037/,USA
Donald O'Connor,https://www.imdb.com/name/nm0640307/,USA
Debbie Reynolds,https://www.imdb.com/name/nm0001666/,USA
Jean Hagen,https://www.imdb.com/name/nm0353405/,USA
Tom Hanks,https://www.imdb.com/name/nm0000158/,USA
Tim Allen,https://www.imdb.com/name/nm0000741/,USA
Joan Cusack,https://www.imdb.com/name/nm0000349/,USA
Ned Beatty,https://www.imdb.com/name/nm0000885/,USA
Toshirô Mifune,https://www.imdb.com/name/nm0001536/,China
Yutaka Sada,https://www.imdb.com/name/nm0755403/,Japan
Tatsuya Nakadai,https://www.imdb.com/name/nm0619938/,Japan
Kyôko Kagawa,https://www.imdb.com/name/nm0434593/,Japan
Mark Hamill,https://www.imdb.com/name/nm0000434/,USA
Harrison Ford,https://www.imdb.com/name/nm0000148/,USA
Carrie Fisher,https://www.imdb.com/name/nm0000402/,USA
Billy Dee Williams,https://www.imdb.com/name/nm0001850/,USA
Jim Carrey,https://www.imdb.com/name/nm0000120/,Canada
Kate Winslet,https://www.imdb.com/name/nm0000701/,UK
Tom Wilkinson,https://www.imdb.com/name/nm0929489/,UK
Gerry Robert Byrne,https://www.imdb.com/name/nm0004423/,NA
Keir Dullea,https://www.imdb.com/name/nm0001158/,USA
Gary Lockwood,https://www.imdb.com/name/nm0516972/,USA
William Sylvester,https://www.imdb.com/name/nm0843213/,USA
Daniel Richter,https://www.imdb.com/name/nm0725220/,USA
Harvey Keitel,https://www.imdb.com/name/nm0000172/,USA
Tim Roth,https://www.imdb.com/name/nm0000619/,UK
Michael Madsen,https://www.imdb.com/name/nm0000514/,USA
Chris Penn,https://www.imdb.com/name/nm0001606/,USA
Aleksey Kravchenko,https://www.imdb.com/name/nm0470385/,Russia
Olga Mironova,https://www.imdb.com/name/nm0592500/,NA
Liubomiras Laucevicius,https://www.imdb.com/name/nm0490708/,Russia
Vladas Bagdonas,https://www.imdb.com/name/nm0046575/,Lithuania
Guillaume Beylard,https://www.imdb.com/name/nm3149759/,France
Zuriel De Peslouan,https://www.imdb.com/name/nm1185889/,NA
Sarah Lucide,https://www.imdb.com/name/nm5220766/,NA
Jellali Mouina,https://www.imdb.com/name/nm4341376/,NA
Orson Welles,https://www.imdb.com/name/nm0000080/,USA
Joseph Cotten,https://www.imdb.com/name/nm0001072/,USA
Dorothy Comingore,https://www.imdb.com/name/nm0173827/,USA
Agnes Moorehead,https://www.imdb.com/name/nm0001547/,USA
Peter Lorre,https://www.imdb.com/name/nm0000048/,Slovakia
Ellen Widmann,https://www.imdb.com/name/nm0927145/,Switzerland
Inge Landgut,https://www.imdb.com/name/nm0484737/,Germany
Otto Wernicke,https://www.imdb.com/name/nm0921532/,Germany
Peter O'Toole,https://www.imdb.com/name/nm0000564/,UK
Alec Guinness,https://www.imdb.com/name/nm0000027/,UK
Anthony Quinn,https://www.imdb.com/name/nm0000063/,Mexico
Jack Hawkins,https://www.imdb.com/name/nm0370144/,UK
Cary Grant,https://www.imdb.com/name/nm0000026/,UK
Eva Marie Saint,https://www.imdb.com/name/nm0001693/,USA
James Mason,https://www.imdb.com/name/nm0000051/,UK
Jessie Royce Landis,https://www.imdb.com/name/nm0484829/,USA
James Stewart,https://www.imdb.com/name/nm0000071/,USA
Kim Novak,https://www.imdb.com/name/nm0001571/,USA
Barbara Bel Geddes,https://www.imdb.com/name/nm0000895/,USA
Tom Helmore,https://www.imdb.com/name/nm0375738/,UK
Audrey Tautou,https://www.imdb.com/name/nm0851582/,France
Mathieu Kassovitz,https://www.imdb.com/name/nm0440913/,France
Rufus,https://www.imdb.com/name/nm0749363/,France
Lorella Cravotta,https://www.imdb.com/name/nm0186677/,NA
Jack Lemmon,https://www.imdb.com/name/nm0000493/,USA
Shirley MacLaine,https://www.imdb.com/name/nm0000511/,USA
Fred MacMurray,https://www.imdb.com/name/nm0534045/,USA
Ray Walston,https://www.imdb.com/name/nm0001827/,USA
Malcolm McDowell,https://www.imdb.com/name/nm0000532/,UK
Patrick Magee,https://www.imdb.com/name/nm0535861/,UK
Michael Bates,https://www.imdb.com/name/nm0060988/,India
Warren Clarke,https://www.imdb.com/name/nm0165049/,UK
Fred MacMurray,https://www.imdb.com/name/nm0534045/,USA
Barbara Stanwyck,https://www.imdb.com/name/nm0001766/,USA
Edward G. Robinson,https://www.imdb.com/name/nm0000064/,Romania
Byron Barr,https://www.imdb.com/name/nm0056477/,USA
Matthew Modine,https://www.imdb.com/name/nm0000546/,USA
R. Lee Ermey,https://www.imdb.com/name/nm0000388/,USA
Vincent D'Onofrio,https://www.imdb.com/name/nm0000352/,USA
Adam Baldwin,https://www.imdb.com/name/nm0000284/,USA
Tom Cruise,https://www.imdb.com/name/nm0000129/,USA
Jennifer Connelly,https://www.imdb.com/name/nm0000124/,USA
Miles Teller,https://www.imdb.com/name/nm1886602/,USA
Val Kilmer,https://www.imdb.com/name/nm0000174/,USA
Al Pacino,https://www.imdb.com/name/nm0000199/,USA
Michelle Pfeiffer,https://www.imdb.com/name/nm0000201/,USA
Steven Bauer,https://www.imdb.com/name/nm0000874/,Cuba
Mary Elizabeth Mastrantonio,https://www.imdb.com/name/nm0001512/,USA
Lin-Manuel Miranda,https://www.imdb.com/name/nm0592135/,USA
Phillipa Soo,https://www.imdb.com/name/nm5623883/,USA
Leslie Odom Jr.,https://www.imdb.com/name/nm1502434/,USA
Renée Elise Goldsberry,https://www.imdb.com/name/nm0325989/,USA
Lubna Azabal,https://www.imdb.com/name/nm0044073/,Belgium
Mélissa Désormeaux-Poulin,https://www.imdb.com/name/nm0246386/,NA
Maxim Gaudette,https://www.imdb.com/name/nm0309945/,Canada
Mustafa Kamel,https://www.imdb.com/name/nm1323233/,NA
Gregory Peck,https://www.imdb.com/name/nm0000060/,USA
John Megna,https://www.imdb.com/name/nm0576345/,USA
Frank Overton,https://www.imdb.com/name/nm0653942/,USA
Rosemary Murphy,https://www.imdb.com/name/nm0614677/,Germany
Al Pacino,https://www.imdb.com/name/nm0000199/,USA
Robert De Niro,https://www.imdb.com/name/nm0000134/,USA
Val Kilmer,https://www.imdb.com/name/nm0000174/,USA
Jon Voight,https://www.imdb.com/name/nm0000685/,USA
Paul Newman,https://www.imdb.com/name/nm0000056/,USA
Robert Redford,https://www.imdb.com/name/nm0000602/,USA
Robert Shaw,https://www.imdb.com/name/nm0001727/,UK
Charles Durning,https://www.imdb.com/name/nm0001164/,USA
Edward Asner,https://www.imdb.com/name/nm0000799/,USA
Jordan Nagai,https://www.imdb.com/name/nm2973712/,USA
John Ratzenberger,https://www.imdb.com/name/nm0001652/,USA
Christopher Plummer,https://www.imdb.com/name/nm0001626/,Canada
Brigitte Helm,https://www.imdb.com/name/nm0375609/,Germany
Alfred Abel,https://www.imdb.com/name/nm0002154/,Germany
Gustav Fröhlich,https://www.imdb.com/name/nm0297054/,Germany
Rudolf Klein-Rogge,https://www.imdb.com/name/nm0459030/,Germany
Robert De Niro,https://www.imdb.com/name/nm0000134/,USA
Jodie Foster,https://www.imdb.com/name/nm0000149/,USA
Cybill Shepherd,https://www.imdb.com/name/nm0001732/,USA
Albert Brooks,https://www.imdb.com/name/nm0000983/,USA
Kevin Spacey,https://www.imdb.com/name/nm0000228/,USA
Russell Crowe,https://www.imdb.com/name/nm0000128/,New Zealand
Guy Pearce,https://www.imdb.com/name/nm0001602/,UK
Kim Basinger,https://www.imdb.com/name/nm0000107/,USA
Bruce Willis,https://www.imdb.com/name/nm0000246/,Germany
Alan Rickman,https://www.imdb.com/name/nm0000614/,UK
Bonnie Bedelia,https://www.imdb.com/name/nm0000889/,USA
Reginald VelJohnson,https://www.imdb.com/name/nm0001817/,USA
Jason Statham,https://www.imdb.com/name/nm0005458/,UK
