star,star_url,nationality
Stars Tim Robbins,https://www.imdb.com/name/nm0000209,USA
Morgan Freeman,https://www.imdb.com/name/nm0000151,USA
Bob Gunton,https://www.imdb.com/name/nm0348409,USA
Marlon Brando,https://www.imdb.com/name/nm0000008/,USA
Al Pacino,https://www.imdb.com/name/nm0000199/,USA
James Caan,https://www.imdb.com/name/nm0001001/,USA
Diane Keaton,https://www.imdb.com/name/nm0000473/,USA
Christian Bale,https://www.imdb.com/name/nm0000288/,UK
Heath Ledger,https://www.imdb.com/name/nm0005132/,Australia
Aaron Eckhart,https://www.imdb.com/name/nm0001173/,USA
Michael Caine,https://www.imdb.com/name/nm0000323/,UK
Al Pacino,https://www.imdb.com/name/nm0000199/,USA
Robert De Niro,https://www.imdb.com/name/nm0000134/,USA
Robert Duvall,https://www.imdb.com/name/nm0000380/,USA
Diane Keaton,https://www.imdb.com/name/nm0000473/,USA
Henry Fonda,https://www.imdb.com/name/nm0000020/,USA
Lee J. Cobb,https://www.imdb.com/name/nm0002011/,USA
Martin Balsam,https://www.imdb.com/name/nm0000842/,USA
John Fiedler,https://www.imdb.com/name/nm0275835/,USA
Liam Neeson,https://www.imdb.com/name/nm0000553/,UK
Ralph Fiennes,https://www.imdb.com/name/nm0000146/,UK
Ben Kingsley,https://www.imdb.com/name/nm0001426/,UK
Caroline Goodall,https://www.imdb.com/name/nm0328751/,UK
Elijah Wood,https://www.imdb.com/name/nm0000704/,USA
Viggo Mortensen,https://www.imdb.com/name/nm0001557/,USA
Ian McKellen,https://www.imdb.com/name/nm0005212/,UK
Orlando Bloom,https://www.imdb.com/name/nm0089217/,UK
John Travolta,https://www.imdb.com/name/nm0000237/,USA
Uma Thurman,https://www.imdb.com/name/nm0000235/,USA
Samuel L. Jackson,https://www.imdb.com/name/nm0000168/,USA
Bruce Willis,https://www.imdb.com/name/nm0000246/,Germany
Elijah Wood,https://www.imdb.com/name/nm0000704/,USA
Ian McKellen,https://www.imdb.com/name/nm0005212/,UK
Orlando Bloom,https://www.imdb.com/name/nm0089217/,UK
Sean Bean,https://www.imdb.com/name/nm0000293/,UK
Clint Eastwood,https://www.imdb.com/name/nm0000142/,USA
Eli Wallach,https://www.imdb.com/name/nm0908919/,USA
Lee Van Cleef,https://www.imdb.com/name/nm0001812/,USA
Aldo Giuffrè,https://www.imdb.com/name/nm0321294/,Italy
Tom Hanks,https://www.imdb.com/name/nm0000158/,USA
Robin Wright,https://www.imdb.com/name/nm0000705/,USA
Gary Sinise,https://www.imdb.com/name/nm0000641/,USA
Sally Field,https://www.imdb.com/name/nm0000398/,USA
Brad Pitt,https://www.imdb.com/name/nm0000093,USA
Edward Norton,https://www.imdb.com/name/nm0001570,USA
Meat Loaf,https://www.imdb.com/name/nm0001533,USA
Elijah Wood,https://www.imdb.com/name/nm0000704/,USA
Ian McKellen,https://www.imdb.com/name/nm0005212/,UK
