director,director_url,nationality,image_url
Frank Darabont,https://www.imdb.com/name/nm0001104,France,https://m.media-amazon.com/images/M/MV5BNjk0MTkxNzQwOF5BMl5BanBnXkFtZTcwODM5OTMwNA@@._V1_.jpg
Francis Ford Coppola,https://www.imdb.com/name/nm0000338/,USA,https://m.media-amazon.com/images/M/MV5BMTM5NDU3OTgyNV5BMl5BanBnXkFtZTcwMzQxODA0NA@@._V1_.jpg
Christopher Nolan,https://www.imdb.com/name/nm0634240/,UK,https://m.media-amazon.com/images/M/MV5BNjE3NDQyOTYyMV5BMl5BanBnXkFtZTcwODcyODU2Mw@@._V1_.jpg
Francis Ford Coppola,https://www.imdb.com/name/nm0000338/,USA,https://m.media-amazon.com/images/M/MV5BMTM5NDU3OTgyNV5BMl5BanBnXkFtZTcwMzQxODA0NA@@._V1_.jpg
Sidney Lumet,https://www.imdb.com/name/nm0001486/,USA,https://m.media-amazon.com/images/M/MV5BMTY4Mzk5Mzk4Ml5BMl5BanBnXkFtZTYwMTE2NDg0._V1_.jpg
Steven Spielberg,https://www.imdb.com/name/nm0000229/,USA,https://m.media-amazon.com/images/M/MV5BMTY1NjAzNzE1MV5BMl5BanBnXkFtZTYwNTk0ODc0._V1_.jpg
Peter Jackson,https://www.imdb.com/name/nm0001392/,New Zealand,https://m.media-amazon.com/images/M/MV5BYjFjOThjMjgtYzM5ZS00Yjc0LTk5OTAtYWE4Y2IzMDYyZTI5XkEyXkFqcGdeQXVyMTMxMTIwMTE0._V1_.jpg
Quentin Tarantino,https://www.imdb.com/name/nm0000233/,USA,https://m.media-amazon.com/images/M/MV5BMTgyMjI3ODA3Nl5BMl5BanBnXkFtZTcwNzY2MDYxOQ@@._V1_.jpg
Peter Jackson,https://www.imdb.com/name/nm0001392/,New Zealand,https://m.media-amazon.com/images/M/MV5BYjFjOThjMjgtYzM5ZS00Yjc0LTk5OTAtYWE4Y2IzMDYyZTI5XkEyXkFqcGdeQXVyMTMxMTIwMTE0._V1_.jpg
Sergio Leone,https://www.imdb.com/name/nm0001466/,Italy,https://m.media-amazon.com/images/M/MV5BMTk4Njk5MzY3MV5BMl5BanBnXkFtZTcwMTEyMzE0NA@@._V1_.jpg
Robert Zemeckis,https://www.imdb.com/name/nm0000709/,USA,https://m.media-amazon.com/images/M/MV5BMTgyMTMzMDUyNl5BMl5BanBnXkFtZTcwODA0ODMyMw@@._V1_.jpg
David Fincher,https://www.imdb.com/name/nm0000399,USA,https://m.media-amazon.com/images/M/MV5BMTc1NDkwMTQ2MF5BMl5BanBnXkFtZTcwMzY0ODkyMg@@._V1_.jpg
Peter Jackson,https://www.imdb.com/name/nm0001392/,New Zealand,https://m.media-amazon.com/images/M/MV5BYjFjOThjMjgtYzM5ZS00Yjc0LTk5OTAtYWE4Y2IzMDYyZTI5XkEyXkFqcGdeQXVyMTMxMTIwMTE0._V1_.jpg
Christopher Nolan,https://www.imdb.com/name/nm0634240/,UK,https://m.media-amazon.com/images/M/MV5BNjE3NDQyOTYyMV5BMl5BanBnXkFtZTcwODcyODU2Mw@@._V1_.jpg
Irvin Kershner,https://www.imdb.com/name/nm0449984/,USA,https://m.media-amazon.com/images/M/MV5BMTQyNjk0NTcwMl5BMl5BanBnXkFtZTcwNzAyNDQxNA@@._V1_.jpg
Lana Wachowski,https://www.imdb.com/name/nm0905154/,USA,https://m.media-amazon.com/images/M/MV5BMjEzMTc2MDQ5OV5BMl5BanBnXkFtZTcwNjkzNDY0OA@@._V1_.jpg
Martin Scorsese,https://www.imdb.com/name/nm0000217/,USA,https://m.media-amazon.com/images/M/MV5BMTcyNDA4Nzk3N15BMl5BanBnXkFtZTcwNDYzMjMxMw@@._V1_.jpg
Milos Forman,https://www.imdb.com/name/nm0001232,Czech Republic,https://m.media-amazon.com/images/M/MV5BNDY5NDAyODM2Nl5BMl5BanBnXkFtZTcwMzgzNzg3OA@@._V1_.jpg
