director,director_url,nationality
Frank Darabont,https://www.imdb.com/name/nm0001104,France
Francis Ford Coppola,https://www.imdb.com/name/nm0000338/,USA
Christopher Nolan,https://www.imdb.com/name/nm0634240/,UK
Francis Ford Coppola,https://www.imdb.com/name/nm0000338/,USA
Sidney Lumet,https://www.imdb.com/name/nm0001486/,USA
Steven Spielberg,https://www.imdb.com/name/nm0000229/,USA
Peter Jackson,https://www.imdb.com/name/nm0001392/,New Zealand
Quentin Tarantino,https://www.imdb.com/name/nm0000233/,USA
Peter Jackson,https://www.imdb.com/name/nm0001392/,New Zealand
Sergio Leone,https://www.imdb.com/name/nm0001466/,Italy
Robert Zemeckis,https://www.imdb.com/name/nm0000709/,USA
David Fincher,https://www.imdb.com/name/nm0000399,USA
Peter Jackson,https://www.imdb.com/name/nm0001392/,New Zealand
Christopher Nolan,https://www.imdb.com/name/nm0634240/,UK
Irvin Kershner,https://www.imdb.com/name/nm0449984/,USA
Lana Wachowski,https://www.imdb.com/name/nm0905154/,USA
Martin Scorsese,https://www.imdb.com/name/nm0000217/,USA
Milos Forman,https://www.imdb.com/name/nm0001232,Czech Republic
David Fincher,https://www.imdb.com/name/nm0000399/,USA
Akira Kurosawa,https://www.imdb.com/name/nm0000041/,Japan
Frank Capra,https://www.imdb.com/name/nm0001008/,Italy
Jonathan Demme,https://www.imdb.com/name/nm0001129/,USA
Fernando Meirelles,https://www.imdb.com/name/nm0576987/,Brazil
Steven Spielberg,https://www.imdb.com/name/nm0000229/,USA
Christopher Nolan,https://www.imdb.com/name/nm0634240/,UK
Roberto Benigni,https://www.imdb.com/name/nm0000905/,Italy
Frank Darabont,https://www.imdb.com/name/nm0001104/,France
George Lucas,https://www.imdb.com/name/nm0000184,USA
James Cameron,https://www.imdb.com/name/nm0000116/,Canada
Robert Zemeckis,https://www.imdb.com/name/nm0000709/,USA
Hayao Miyazaki,https://www.imdb.com/name/nm0594503/,Japan
Roman Polanski,https://www.imdb.com/name/nm0000591/,France
Alfred Hitchcock,https://www.imdb.com/name/nm0000033/,UK
Bong Joon Ho,https://www.imdb.com/name/nm0094435/,South Korea
Luc Besson,https://www.imdb.com/name/nm0000108/,France
Roger Allers,https://www.imdb.com/name/nm0021249/,USA
Ridley Scott,https://www.imdb.com/name/nm0000631/,UK
Tony Kaye,https://www.imdb.com/name/nm0443411/,UK
Martin Scorsese,https://www.imdb.com/name/nm0000217/,USA
Bryan Singer,https://www.imdb.com/name/nm0001741/,USA
Christopher Nolan,https://www.imdb.com/name/nm0634240/,UK
Damien Chazelle,https://www.imdb.com/name/nm3227090,USA
Michael Curtiz,https://www.imdb.com/name/nm0002031/,Hungary
Isao Takahata,https://www.imdb.com/name/nm0847223/,Japan
Masaki Kobayashi,https://www.imdb.com/name/nm0462030/,Japan
Olivier Nakache,https://www.imdb.com/name/nm0619923/,France
Charles Chaplin,https://www.imdb.com/name/nm0000122/,UK
Sergio Leone,https://www.imdb.com/name/nm0001466/,Italy
Alfred Hitchcock,https://www.imdb.com/name/nm0000033/,UK
Giuseppe Tornatore,https://www.imdb.com/name/nm0868153/,Italy
